title,link,summary,date
Трамп у зверненні до Конгресу підтвердив свої зазіхання на Гренландію,https://ua.korrespondent.net/world/4761070-tramp-u-zvernenni-do-konhresu-pidtverdyv-svoi-zazikhannia-na-hrenlandiui,"Трамп додав, що йдеться про ""дуже великий шматок землі"" з ""дуже маленьким за чисельністю населенням"", але ""дуже, дуже важливий для військової безпеки"".Новини світу- 5 березня 2025, 09:25",2025-03-05 09:25
Атака на Київщину: з’явились фото наслідків,https://ua.korrespondent.net/city/kiev/4761068-ataka-na-kyivschynu-ziavylys-foto-naslidkiv,"Зафіксовані пошкодження в Бориспільському районі. Пошкоджено два багатоквартирні будинки, 20 автомобілів.Київ- 5 березня 2025, 09:17",2025-03-05 09:17
"Лень з крихтами часу став ""привидом"" у перемозі Лейкерс",https://ua.korrespondent.net/sport/basketball/4761064-len-z-krykhtamy-chasu-stav-pryvydom-u-peremozi-leikers,"Українець формально доклався до розгрому Нового Орлеана.Новини баскетболу- 5 березня 2025, 08:14",2025-03-05 08:14
В Києві судитимуть чоловіка за спробу вкрасти кабель міжміського зв'язку,https://ua.korrespondent.net/kyiv/4761305-v-kyievi-sudytymut-cholovika-za-sprobu-vkrasty-kabel-mizhmiskoho-zviazku,"Зловмисником виявився 34-річний місцевий житель; йому тепер загрожує до 8 років позбавлення волі.Київ новини- 5 березня 2025, 19:59",2025-03-05 19:59
Японія планує фінансувати енергетичні проєкти в Україні замість USAID,https://ua.korrespondent.net/world/4761302-yaponiia-planuie-finansuvaty-enerhetychni-proiekty-v-ukraini-zamist-USAID,"Хоча підходи JICA і USAID різняться, агентство готове взяти на себе фінансування програм у сфері енергетики, інфраструктури та інших галузей.Новини світу- 5 березня 2025, 20:33",2025-03-05 20:33
Саміт в Брюсселі: ЄС підтвердив візит Зеленського,https://ua.korrespondent.net/world/worldabus/4761301-samit-v-bruisseli-yes-pidtverdyv-vizyt-zelenskoho,"Український лідер поспілкується з лідерами держав Євросоюзу під час робочого ланчу, розповіли джерела з кола високопосадовців.Огляд преси- 5 березня 2025, 19:48",2025-03-05 19:48
"Росія вимагає пояснень, чому Санду не прийняла вірчі грамоти посла РФ",https://ua.korrespondent.net/world/russia/4761300-rosiia-vymahaie-poiasnen-chomu-sandu-ne-pryiniala-virchi-hramoty-posla-rf,"Мая Санду раніше заявила, що вірчі грамоти не були прийняті через ""зневажливі заяви"" російських офіційних осіб.Росія новини- 5 березня 2025, 19:28",2025-03-05 19:28
"Глава Панами звинуватив Трампа у ""брехні"" щодо Панамського каналу",https://ua.korrespondent.net/world/4761298-hlava-panamy-zvynuvatyv-trampa-u-brekhni-schodo-panamskoho-kanalu,"Заяви Трампа про ""відновлення контролю"" над Панамським каналом викликали обурення у Панамі, оскільки країна з 1999 року управляє ним.Новини світу- 5 березня 2025, 20:01",2025-03-05 20:01
"РФ за чотири місяці передала більше тіл, ніж за період великої війни - МВС",https://ua.korrespondent.net/ukraine/4761295-rf-za-chotyry-misiatsi-peredala-bilshe-til-nizh-za-period-velykoi-viiny-mvs,"Уповноважений з питань осіб, зниклих безвісти  наголосив, що нині ще тривають процеси розслідування та ідентифікації тіл.Новини України- 5 березня 2025, 18:59",2025-03-05 18:59
"Apple анонсувала ""найпотужніший Mac в історії""",https://ua.korrespondent.net/lifestyle/gadgets/4761294-Apple-anonsuvala-naipotuzhnishyi-Mac-v-istorii,"Компанія презентувала нові Mac Studio та MacBook Air. Перший був названий виробником ""найпотужнішим Mac в історії"".Гаджети- 5 березня 2025, 19:28",2025-03-05 19:28
